,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
36,0.2724,2018-04-09 16:05:44,0.0,0.905,0.095,36,".@POTUS says he and Chinese President Xi Jinping are ""very good friends,"" but ""with that being said, China is takin… https://t.co/JqXrCEbwu5",@CBSNews
37,0.0,2018-04-09 16:03:25,0.0,1.0,0.0,37,"""If it is Russia, if it is Syria , if it is Iran, if it is all of them together, we will figure it out and we will… https://t.co/fTnAdlmlwt",@CBSNews
38,0.0,2018-04-09 16:00:37,0.0,1.0,0.0,38,"The Trump brothers' business trip to Dubai just cost taxpayers $73,000. https://t.co/weCZigp3SC https://t.co/LDtwGvlsgB",@CBSNews
39,0.0,2018-04-09 15:57:42,0.0,1.0,0.0,39,"WATCH: ""We are studying that situation extremely closely. We are meeting with our military and everyone else that w… https://t.co/lgm7XcH3vN",@CBSNews
40,-0.8225,2018-04-09 15:45:01,0.388,0.612,0.0,40,"Remains of Navy seaman killed in Pearl Harbor attack identified, military says https://t.co/WU0H6VSOp8 https://t.co/tUipUHTsYD",@CBSNews
41,0.0,2018-04-09 15:30:02,0.0,1.0,0.0,41,Toddler hit in the head by oxygen canister on American Airlines flight https://t.co/h86MMLUcMT https://t.co/1tT2fWiOX6,@CBSNews
42,0.0,2018-04-09 15:15:01,0.0,1.0,0.0,42,"""Still Standing"": Sir Elton John talks stellar career and farewell tour on @CBSThisMorning https://t.co/f4FpOifCGH https://t.co/N89MZFt61d",@CBSNews
43,0.128,2018-04-09 15:00:24,0.0,0.914,0.086,43,"Asked about potential airstrikes against Syria's Assad regime, U.S. Defense Secretary James Mattis replied: ""I don’… https://t.co/ER57YHYwNW",@CBSNews
44,0.0,2018-04-09 14:45:02,0.0,1.0,0.0,44,First look at the 2019 Chevy Camaro: General Motors has taken extraordinary measures to keep the reboot of the clas… https://t.co/WC0PBfqIVp,@CBSNews
45,-0.2263,2018-04-09 14:30:01,0.174,0.826,0.0,45,Apple co-founder protests Facebook by closing his account https://t.co/Qbz1SSmfrn https://t.co/sorVxVlqmI,@CBSNews
